fecha;motivo;precio;es_alimento;cantidad
30/01/2021;Compra de 9 bultos de alimento;8000;1;9
30/01/2021;gasolina;5000;0;0
30/01/2021;Compra de 9 bultos de alimento;8000;1;9
30/01/2021;gasolina;5000;0;0
30/01/2021;Compra de 9 bultos de alimento;8000;1;9
30/01/2021;gasolina;5000;0;0
30/01/2021;Compra de 9 bultos de alimento;8000;1;9
30/01/2021;gasolina;5000;0;0
30/01/2021;Compra de 9 bultos de alimento;8000;1;9
30/01/2021;gasolina;5000;0;0
31/01/2021;Compra de 5 bultos de alimento;5434;1;5
31/01/2021;Compra de 7 bultos de alimento;5767;1;7
31/01/2021;Compra de 40 bultos de alimento;4500;1;40
31/01/2021;Compra de 60 bultos de alimento;64000;1;60
